growth_rate_percent_per_year,time_to_cap_years,cap_year,hold_years,end_year,cap_co2_ppm,warming_at_cap_c,amoc_at_cap_sv,final_warming_c,final_amoc_sv,minimum_amoc_sv
0.5,293.0055146427828,2143.005514642783,200.0,2343.005514642783,1200.0,5.568020598857297,11.229025286095835,6.28181394305056,0.6019221238029554,0.6019221238029554
1.0,146.8671935445201,1996.86719354452,200.0,2196.86719354452,1200.0,5.127529526104599,12.953256398942873,6.140978254820923,0.7559546146964997,0.7559546146964997
2.0,73.79713536931399,1923.797135369314,200.0,2123.7971353693138,1200.0,4.744901015590515,14.461856025529388,6.044402688884408,1.3527563862219751,1.3527563862219751
3.0,49.43966116429121,1899.4396611642912,200.0,2099.439661164291,1200.0,4.459304508647574,15.158206942258152,6.007313520329287,1.8035853516636928,1.8035853516636928
5.0,29.952290428238157,1879.9522904282383,200.0,2079.952290428238,1200.0,4.173791903796494,15.588847801595747,5.97567154172762,2.3191931707804883,2.3191931707804883
