year,co2_ppm,total_prescribed_forcing_wm2,global_surface_warming_c,global_bulk_surface_warming_c,global_near_surface_air_warming_c,arctic_bulk_surface_warming_c,arctic_near_surface_air_warming_c,arctic_filtered_near_surface_air_warming_c,arctic_ocean_interface_temperature_c,arctic_open_water_temperature_c,arctic_local_ice_thickness_m,arctic_sea_ice_equivalent_thickness_m,northern_hemisphere_sea_ice_area_million_km2,northern_hemisphere_sea_ice_extent_million_km2,arctic_calendar_month,greenland_temperature_driver_c,greenland_reference_surface_temperature_c,greenland_absolute_surface_temperature_c,greenland_positive_degree_day_rate,greenland_surface_melt_anomaly_gt_per_year,greenland_snowfall_anomaly_gt_per_year,greenland_net_surface_loss_gt_per_year,greenland_applied_freshwater_sv,greenland_annual_mean_freshwater_sv,greenland_requested_freshwater_sv,greenland_freshwater_target_sv,greenland_remaining_ice_gt,greenland_cumulative_melt_gt,greenland_cumulative_accumulation_gt,greenland_cumulative_net_ice_loss_gt,greenland_cumulative_sea_level_mm,amoc_sv,amoc_weak_or_collapsed,amoc_active,amoc_convection_collapsed,salt_conservation_error_ppm,pre_projection_salt_conservation_error_ppm
1850.0,284.316999,0.310824461,0.0,0.0,0.0,0.0,0.0,0.0,-1.7999999999999998,-1.8000000000000003,1.4940342036248453,1.2712766129718556,16.1909644287123,20.52336603509541,1.0,0.0,-23.575872675236518,-23.575872675236518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2850000.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0
1850.05,284.32369925,0.31088920814999993,0.0036809926221940746,0.0036809926221940746,0.0036642279346536266,0.004467815580889166,0.004261872957094084,0.004261872957094084,-1.799996440641101,-1.7999782022141546,1.6281698821651445,1.3623061380181714,15.9835877123562,19.61403002827352,1.0,0.007720390156158246,-23.973360833781665,-23.965640443625507,0.0,0.0,0.270202406432829,-0.270202406432829,3.2740030069970882e-06,3.8967444439821346e-06,3.2740030069970882e-06,3.860195071082176e-06,2849999.994834122,0.005165878217667341,0.0,0.005165878217667341,1.4270381816760611e-05,16.99994045440035,0.0,1.0,0.0,0.0,1.7341381997221297e-10
1850.1,284.3303995,0.31095395529999986,0.007141689530801974,0.007141689530801974,0.0071812792329028294,0.008751778487824987,0.009638392632971645,0.009638392632971645,-1.7999927310931454,-1.7999605966466343,1.7650247179691343,1.4394229816858246,15.58295790490967,18.609698904101048,2.0,0.015351614388027884,-23.051982559491393,-23.036630945103365,0.0,0.0,0.5372709725600666,-0.5372709725600666,6.524260429695069e-06,7.763043944002298e-06,6.524260429695069e-06,7.675807152375668e-06,2849999.9845398567,0.015460143331438303,0.0,0.015460143331438303,4.270757826364172e-05,16.999827249171666,0.0,1.0,0.0,0.0,1.7341381997221297e-10
1850.15,284.33709975000005,0.31101870245000013,0.01040854437621579,0.01040854437621579,0.010575321004214221,0.012881979155729474,0.016123575831834908,0.016123575831834908,-1.7999610761062024,-1.7998191682013585,1.9091186626690733,1.498182463222681,14.983748913810164,17.562411999939147,2.0,0.022914749221479604,-20.901928777473152,-20.879014028251675,0.0,0.0,0.8018605062398154,-0.8018605062398154,9.759497385825924e-06,1.1609177180189227e-05,9.759497385825924e-06,1.1457374486682704e-05,2849999.9691410344,0.0308589655905962,0.0,0.0308589655905962,8.52457612999895e-05,16.999665490656003,0.0,1.0,0.0,0.0,1.7341381997221297e-10
1850.2,284.34380000000004,0.31108344960000006,0.013504927123084612,0.013504927123084612,0.013845300492922747,0.016866541718722806,0.02330100290360756,0.02330100290360756,-1.799879856464671,-1.7995460059430854,2.0806450620714614,1.530029806839748,14.014079387749415,16.296865795107525,3.0,0.030361452859115245,-17.733661732216458,-17.703300279357343,0.0,0.0,1.061643106967003,-1.061643106967003,1.2959692329445429e-05,1.5410189952167995e-05,1.2959692329445429e-05,1.5180726156272876e-05,2849999.948694054,0.051305945962667465,0.0,0.051305945962667465,0.00014172913249355654,16.999459403934235,0.0,1.0,0.0,0.0,1.7341381997221297e-10
1850.25,284.35050025,0.31114819675,0.016454913812699562,0.016454913812699562,0.01696692702479417,0.020717741172195648,0.030352142852077255,0.030352142852077255,-1.7987339971946037,-1.796228493884676,2.287340032201731,1.5195356566773097,12.726844413000313,14.858847826778469,4.0,0.03757960335679417,-13.85731347672554,-13.819733873368746,0.0,0.0,1.3066135089132236,-1.3066135089132236,1.608578694606428e-05,1.9108288102715662e-05,1.608578694606428e-05,1.8789801172897683e-05,2849999.9233268495,0.07667315052822232,0.0,0.07667315052822232,0.00021180428322713349,16.99921183314277,0.0,1.0,0.0,0.0,1.7341381997221297e-10
1850.3,284.3572005,0.3112129438999999,0.019283090526956044,0.019283090526956044,0.019885216334291692,0.024573399535927014,0.035850890670966196,0.035850890670966196,-1.7955251431398578,-1.7887747266377707,2.377635441752423,1.4298119078291331,11.5572946889089,13.701494443977019,4.0,0.044427000160248545,-9.652327986354273,-9.607900986194023,0.0,0.0,1.4715404511296049,-1.4715404511296049,1.9171022306304732e-05,2.2629678760832e-05,1.9171022306304732e-05,2.2213499247809034e-05,2849999.8932136577,0.10678634233772755,0.0,0.10678634233772755,0.0002949898959605733,16.99892460074857,0.0,1.0,0.0,0.0,1.7341381997221297e-10
1850.35,284.36390074999997,0.31127769104999986,0.021998252679293097,0.021998252679293097,0.02260136618913027,0.028469256898112104,0.03967727229997738,0.03967727229997738,-1.586175024442371,-1.332349737272684,2.317217040266889,1.2577097193318418,10.498330404603443,12.7570729178359,5.0,0.05091254587576221,-5.530318538756851,-5.479405992881089,0.0,0.0,1.07587313028904,-1.07587313028904,2.297965732328264e-05,2.5977379544727907e-05,2.297965732328264e-05,2.545627166997123e-05,2849999.85804901,0.14195099007338285,0.0,0.14195099007338285,0.0003921298068325493,16.998599007265813,0.0,1.0,0.0,0.0,1.7341381997221297e-10
1850.4,284.370601,0.3113424382000001,0.02460306772850559,0.02460306772850559,0.02513421070992657,0.03241471790470042,0.042232894387352206,0.042232894387352206,-0.7781849947062083,0.2343178357943493,2.2050196681053467,1.097463049275333,9.644835777467446,12.08974838560575,5.0,0.05707377464145783,-1.894776138392693,-1.8377023637512353,0.0,0.0,-1.4981427656508117,1.498142668250377,3.0091872991879006e-05,2.916924381076054e-05,3.0091872991879006e-05,2.8536885465428274e-05,2849999.8147097556,0.18529024440795183,0.0,0.18529024440795183,0.0005118515038893697,16.9982360207132,0.0,1.0,0.0,0.0,1.7341381997221297e-10
1850.45,284.37730125,0.31140718535000006,0.027102029122141387,0.027102029122141387,0.027498887123917144,0.036432294287249437,0.04367506939916728,0.04367506939916728,0.03088152037996705,1.5192755383945453,2.0635747964792066,0.9253261283306632,8.637562033047978,11.201194297331885,6.0,0.06296330182917817,0.8984269942771999,0.961390296106378,351.1405952256338,8.738812031970575,-4.394990965172596,10.097226905812638,4.662711834653533e-05,3.223113642416288e-05,4.662711834653533e-05,3.148164823783698e-05,2849999.75767651,0.2423234898597002,0.0,0.2423234898597002,0.0006694019056897796,16.997836040531176,0.0,1.0,0.0,0.0,1.7341381997221297e-10
1850.5,284.3840015,0.3114719325,0.02950859171149721,0.02950859171149721,0.02978340859344857,0.04056161675394648,0.045418846097002766,0.045418846097002766,0.6334301857856376,2.22284227189327,1.916251497263567,0.757104823883427,7.52873298644676,10.094761296092251,6.0,0.06877247824701155,2.5758726752365178,2.644645153483529,965.9368074712079,9.545080116730935,-4.403961710177978,10.634520134369613,5.035851116087708e-05,3.5260805234376964e-05,5.035851116087708e-05,3.4386235229549746e-05,2849999.677261167,0.32273883279412985,0.0,0.32273883279412985,0.0008915437370003587,16.997398872236555,0.0,1.0,0.0,0.0,1.7341381997221297e-10
1850.55,284.39070175,0.3115366796499999,0.031831719160513035,0.031831719160513035,0.0320280563260715,0.0447611858808259,0.047961325115671825,0.047961325115671825,0.8489171730337614,2.251325061456011,1.777288883590324,0.6152268486341764,6.487610972285936,8.961188920776122,7.0,0.07458365735194161,2.9733608337816655,3.047944491133607,1113.2388658028665,10.3516261587393,-4.429897636372382,11.189335522381947,5.4127381877422254e-05,3.830053281883257e-05,5.4127381877422254e-05,3.7291823334460294e-05,2849999.591779071,0.4082209290936589,0.0,0.4082209290936589,0.0011276821245681185,16.996924124235253,0.0,1.0,0.0,0.0,1.7341381997221297e-10
1850.6,284.397402,0.31160142679999986,0.03407185524539704,0.03407185524539704,0.03423277274404395,0.04885926109843513,0.0511564487389982,0.0511564487389982,0.5673386837329957,1.6169217134524427,1.663296774892744,0.5109183688468516,5.637683589601377,7.9726923563040195,8.0,0.08037641048399442,2.051982559491396,2.1323589699753907,778.8281210912367,11.155614820356144,-5.5147377052616795,12.801751018796818,5.957160969656387e-05,4.1339731789851343e-05,5.957160969656387e-05,4.018819817631985e-05,2849999.498928097,0.501071902923286,0.0,0.501071902923286,0.0013841765274123922,16.99641147793578,0.0,1.0,0.0,0.0,1.7341381997221297e-10
1850.65,284.40410225000005,0.3116661739500001,0.03622597079220319,0.03622597079220319,0.036375679191722875,0.052667094166362005,0.05454012312264589,0.05454012312264589,-0.24743911668323199,0.3694314620609569,1.6091835936902243,0.457565971594382,5.0970032410014925,7.320904652026009,8.0,0.08606815311896865,-0.09807122252684408,-0.012003069407875433,0.0,0.0,-5.150866823564304,5.1508657350237925,5.029758065402211e-05,4.433546055637186e-05,5.029758065402211e-05,4.303406746502755e-05,2849999.3977051703,0.6022948296740651,0.0,0.6022948296740651,0.0016637978720278042,16.995862116718865,0.0,1.0,0.0,0.0,1.7341381997221297e-10
1850.7,284.41080250000005,0.31173092110000006,0.03829231251327235,0.03829231251327235,0.03846388985937943,0.0560873799360971,0.058468798165478335,0.058468798165478335,-1.3717095788170175,-1.2022933231912194,1.5616065894304076,0.4426277159130883,4.966346106532652,7.178954842978832,9.0,0.09160245044550716,-3.2663382677835466,-3.1747358173380396,0.0,0.0,-0.23895544999547047,0.2389553929211479,4.529391569863943e-05,4.7258010332543246e-05,4.529391569863943e-05,4.5801214283166715e-05,2849999.319279726,0.6807202738709748,0.0,0.6807202738709748,0.0018804427454999304,16.99527620992057,0.0,1.0,0.0,0.0,1.7341381997221297e-10
1850.75,284.41750275000004,0.31179566825,0.04025586504428569,0.04025586504428569,0.04065321105472012,0.05881228250451963,0.06595446437972419,0.06595446437972419,-1.7789082665863054,-1.7558783054324527,1.0412355061324712,0.5434880390083722,8.263209014481411,11.906396813665284,10.0,0.09729118062845363,-7.142686523274467,-7.045395342646013,0.0,0.0,2.77047181271719,-2.77047181271719,4.3389075850895274e-05,5.026930259464179e-05,4.3389075850895274e-05,4.8645577484024656e-05,2849999.248316735,0.7516832649707794,0.0,0.7516832649707794,0.0020764731076540867,16.994657017334823,0.0,1.0,0.0,0.0,1.7341381997221297e-10
1850.8,284.424203,0.3118604153999999,0.042110333365277516,0.042110333365277516,0.043097136475758954,0.06077308357934863,0.08004087857100146,0.08004087857100146,-1.7962930529253374,-1.7846608529587586,0.9343060383180467,0.7085162322570765,13.06932151735858,18.59614124648541,10.0,0.10346407133023397,-11.34767201364574,-11.244207942315505,0.0,0.0,3.5362213898270434,-3.5362213898270434,4.528768867514106e-05,5.3541982748945814e-05,4.528768867514106e-05,5.173202071662712e-05,2849999.176463954,0.8235360458493233,0.0,0.8235360458493233,0.00227496145262244,16.994004315161295,0.0,1.0,0.0,0.0,1.7341381997221297e-10
1850.85,284.43090325,0.31192516254999986,0.04387041245655305,0.04387041245655305,0.04529048419625069,0.0633879248258055,0.0907809652259435,0.0907809652259435,-1.7943328928144389,-1.769903461406612,1.0834674432662463,0.8794530808171139,14.79216307318955,20.60933292383631,11.0,0.10939345738851883,-15.469681461243164,-15.360288003854645,0.0,0.0,3.817265662322189,-3.817265662322189,4.7842858921057075e-05,5.6697200691854495e-05,4.7842858921057075e-05,5.469671143935847e-05,2849999.100924884,0.8990751160308719,0.0,0.8990751160308719,0.0024836329172123533,16.99332195585089,0.0,1.0,0.0,0.0,1.7341381997221297e-10
1850.9,284.4376035,0.3119899097000001,0.045535771887283825,0.045535771887283825,0.04740845351320835,0.06583932055475598,0.10140838042242407,0.10140838042242407,-1.796528567302097,-1.7780182239552242,1.2289907153088149,1.0349045529417902,15.680786182602873,21.246184549295236,11.0,0.11532799845812598,-19.105223861607325,-18.989895863149197,0.0,0.0,4.034506186181497,-4.034506186181497,5.051064096659851e-05,5.986437366703943e-05,5.051064096659851e-05,5.766397942542434e-05,2849999.0212199828,0.978780017234385,0.0,0.978780017234385,0.002703812202304931,16.992619054963644,0.0,1.0,0.0,0.0,1.7341381997221297e-10
1850.95,284.44430375,0.31205465685000006,0.04714332115754976,0.04714332115754976,0.04962121845443813,0.06801231856050227,0.1144224287016855,0.1144224287016855,-1.7989885798192757,-1.7931264627228343,1.3636469129416413,1.1629904021064776,16.09056240987297,21.104580482528853,12.0,0.1215100534697847,-21.898426994277212,-21.77691694080743,0.0,0.0,4.252336401955603,-4.252336401955603,5.330991946932787e-05,6.317077041828787e-05,5.330991946932787e-05,6.0755004076548205e-05,2849998.9371039025,1.0628960975445807,0.0,1.0628960975445807,0.002936177065040278,16.991899067035845,0.0,1.0,0.0,0.0,1.7341381997221297e-10
1851.0,284.451004,0.312119404,0.048710649020733326,0.048710649020733326,0.051913745795957526,0.06999539629797745,0.12943050300675954,0.12943050300675954,-1.7994600257775317,-1.796432443609108,1.4951898814097966,1.268882598442249,16.157140083399327,20.480490922694784,1.0,0.1278458627441551,-23.575872675236525,-23.44802681249237,0.0,0.0,4.474370347109147,-4.474370347109147,5.6188966309768975e-05,6.65679635886374e-05,5.6188966309768975e-05,6.392290554375985e-05,2849998.8484460292,1.1515539707615972,0.0,1.1515539707615972,0.0031810883170209866,16.991164353634908,0.0,1.0,0.0,0.0,1.7341381997221297e-10
1851.05,284.4583539,0.31196454975000015,0.05023944239066495,0.05023944239066495,0.05417244041217171,0.07189321889169485,0.14419839535069648,0.14419839535069648,-1.7995687552678954,-1.7973948205155077,1.6298732504752216,1.360074467915657,15.945386502132928,19.56715196197702,1.0,0.13410258665945962,-23.973360833781662,-23.839258247122203,0.0,0.0,4.693388242358032,-4.693388242358032,5.904312600925779e-05,6.993375067777502e-05,5.904312600925779e-05,6.705126404560582e-05,2849998.755284958,1.2447150419466197,0.0,1.2447150419466197,0.003438439342393977,16.99041807080802,0.0,1.0,0.0,0.0,1.7341381997221297e-10
1851.1,284.4657038,0.31180969550000026,0.05172992393741989,0.05172992393741989,0.05632164181608125,0.07373848518469962,0.15716550388639405,0.15716550388639405,-1.799475442894289,-1.7971911040126705,1.7672505900297377,1.4372191973566535,15.542525476819737,18.56141312181845,2.0,0.14010764938692877,-23.051982559491385,-22.911874910104455,0.0,0.0,4.903432150620457,-4.903432150620457,6.179492236920109e-05,7.317664853335402e-05,6.179492236920109e-05,7.005379170136256e-05,2849998.657782204,1.3422177960164845,0.0,1.3422177960164845,0.003707783966896366,16.989665839221015,0.0,1.0,0.0,0.0,1.7341381997221297e-10
