year,co2_ppm,total_prescribed_forcing_wm2,global_surface_warming_c,global_bulk_surface_warming_c,global_near_surface_air_warming_c,arctic_bulk_surface_warming_c,arctic_near_surface_air_warming_c,arctic_filtered_near_surface_air_warming_c,arctic_ocean_interface_temperature_c,arctic_open_water_temperature_c,arctic_local_ice_thickness_m,arctic_sea_ice_equivalent_thickness_m,northern_hemisphere_sea_ice_area_million_km2,northern_hemisphere_sea_ice_extent_million_km2,arctic_calendar_month,greenland_temperature_driver_c,greenland_reference_surface_temperature_c,greenland_absolute_surface_temperature_c,greenland_positive_degree_day_rate,greenland_surface_melt_anomaly_gt_per_year,greenland_snowfall_anomaly_gt_per_year,greenland_net_surface_loss_gt_per_year,greenland_applied_freshwater_sv,greenland_annual_mean_freshwater_sv,greenland_requested_freshwater_sv,greenland_freshwater_target_sv,greenland_remaining_ice_gt,greenland_cumulative_melt_gt,greenland_cumulative_accumulation_gt,greenland_cumulative_net_ice_loss_gt,greenland_cumulative_sea_level_mm,amoc_sv,amoc_weak_or_collapsed,amoc_active,amoc_convection_collapsed,salt_conservation_error_ppm,pre_projection_salt_conservation_error_ppm
1850.0,284.316999,0.310824461,0.0,0.0,0.0,0.0,0.0,0.0,-1.7999999999999998,-1.7999999999999998,1.6184603443114156,1.4754535824616863,17.142100435039115,28.535714752907975,1.0,0.0,-23.575872675236518,-23.575872675236518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2850000.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0
1850.05,284.32369925,0.31088920814999993,0.003677337348665886,0.003677337348665886,0.003683080561906479,0.0035799395582119886,0.0037570997344060003,0.0037570997344060003,-1.7999997618663857,-1.7999974403184822,1.7158191138956629,1.5561921430905332,17.15459780709871,28.535714752907975,1.0,0.007836568401667653,-23.973360833781665,-23.965524265379997,0.0,0.0,0.2742684753856528,-0.2742684753856528,3.3233468824844885e-06,3.955463473565028e-06,3.3233468824844885e-06,3.918284193624548e-06,2849999.9947562646,0.005243735387921333,0.0,0.005243735387921333,1.4485456872710865e-05,16.999939767190845,0.0,1.0,0.0,0.0,1.7341381997221297e-10
1850.1,284.3303995,0.31095395529999986,0.0071294671139446745,0.0071294671139446745,0.0072484909953297386,0.007233542724290636,0.010080009711606254,0.010080009711606254,-1.7999999999999998,-1.7999999999999998,1.8122181334679974,1.6254905960779213,17.007580004747375,28.535714752907975,2.0,0.015682615371747685,-23.051982559491393,-23.036299944119644,0.0,0.0,0.548855237613477,-0.548855237613477,6.665336454972393e-06,7.93085251718272e-06,6.665336454972393e-06,7.841307642511146e-06,2849999.9842394036,0.015760596375912428,0.0,0.015760596375912428,4.3537559049481845e-05,16.99982430545546,0.0,1.0,0.0,0.0,1.7341381997221297e-10
1850.15,284.33709975000005,0.31101870245000013,0.01038423559371354,0.01038423559371354,0.010720712608707945,0.010910474402001326,0.01895169354902591,0.01895169354902591,-1.7999999999999998,-1.8000000000000003,1.9076532824994998,1.6808750200633056,16.701008152076042,28.535714752907975,2.0,0.02354313638507948,-20.901928777473152,-20.878385641088073,0.0,0.0,0.823849759303108,-0.823849759303108,1.0028258131577934e-05,1.1928726096826794e-05,1.0028258131577934e-05,1.1771568062088142e-05,2849999.9684165227,0.0315834772773087,0.0,0.0315834772773087,8.724717479919531e-05,16.999658031533706,0.0,1.0,0.0,0.0,1.7341381997221297e-10
1850.2,284.34380000000004,0.31108344960000006,0.01346962300327926,0.01346962300327926,0.014089884941193186,0.014567868081379911,0.029560886555923583,0.029560886555923583,-1.7999906725959893,-1.799935606792463,2.006181126989283,1.7155842984509415,16.160702498549618,28.535714752907975,3.0,0.03133100352862084,-17.733661732216458,-17.702330728687837,0.0,0.0,1.095544923804781,-1.095544923804781,1.337584856837985e-05,1.5904731816507488e-05,1.337584856837985e-05,1.5665501474707273e-05,2849999.947312957,0.052687042858451605,0.0,0.052687042858451605,0.00014554431728854033,16.999444607461335,0.0,1.0,0.0,0.0,1.7341381997221297e-10
1850.25,284.35050025,0.31114819675,0.016416734370114178,0.016416734370114178,0.017316439970914362,0.018175210901300174,0.04035582081006008,0.04035582081006008,-1.7992955294823938,-1.7962926652200042,2.122980518257171,1.7195701781296593,15.314231270013103,28.535714752907975,4.0,0.03887487082505439,-13.85731347672554,-13.818438605900486,0.0,0.0,1.351645771768173,-1.351645771768173,1.6644079831343977e-05,1.9770973355922933e-05,1.6644079831343977e-05,1.9437434874180683e-05,2849999.921065329,0.07893467089161277,0.0,0.07893467089161277,0.00021805157704865406,16.999186716646797,0.0,1.0,0.0,0.0,1.7341381997221297e-10
1850.3,284.3572005,0.3112129438999999,0.019257188929861887,0.019257188929861887,0.020316637250885384,0.02186384532283926,0.048246847327738936,0.048246847327738936,-1.7964761872179074,-1.78501688766976,2.1816912602178733,1.6685888166208118,14.466376281185276,28.535714752907975,4.0,0.045949824191470326,-9.652327986354273,-9.606378162162802,0.0,0.0,1.5219447696216748,-1.5219447696216748,1.9833692654904785e-05,2.3411150276085e-05,1.9833692654904785e-05,2.297491120826877e-05,2849999.889911256,0.11008874420076609,0.0,0.11008874420076609,0.0003041125530407903,16.9988861023057,0.0,1.0,0.0,0.0,1.7341381997221297e-10
1850.35,284.36390074999997,0.31127769104999986,0.021995846222485307,0.021995846222485307,0.02306670129298113,0.025684296652125085,0.05226572718482397,0.05226572718482397,-1.7044021338344855,-1.4610761655398405,2.15274594981863,1.5455360156842812,13.619816547487561,28.535714752907975,5.0,0.05252643170923229,-5.530318538756851,-5.477792107047619,0.0,0.0,1.1096765078804083,-1.1096765078804083,2.3715505533634887e-05,2.6808145836500294e-05,2.3715505533634887e-05,2.626321450570675e-05,2849999.8536206763,0.14637932367622852,0.0,0.14637932367622852,0.0004043627725862666,16.99854430164745,0.0,1.0,0.0,0.0,1.7341381997221297e-10
1850.4,284.370601,0.3113424382000001,0.02462560525538519,0.02462560525538519,0.025596950712848086,0.029605347291835924,0.05354620406783252,0.05354620406783252,-1.19173377537803,0.08436022116414105,2.0857219307295534,1.4124567077817156,12.853466423785475,24.015618259903494,5.0,0.05867711944652016,-1.894776138392693,-1.836099018946173,0.0,0.0,-1.5412751100514988,1.5412750067857222,3.0947002629546056e-05,2.9997207260383776e-05,3.0947002629546056e-05,2.9338557757570025e-05,2849999.8090493632,0.1909506367519498,0.0,0.1909506367519498,0.0005274879468285906,16.99816285484596,0.0,1.0,0.0,0.0,1.7341381997221297e-10
1850.45,284.37730125,0.31140718535000006,0.027142445628012372,0.027142445628012372,0.027897498132732092,0.03360449070944049,0.05176809321090197,0.05176809321090197,-0.6444053387243852,1.3039730458131897,1.9863387360337106,1.2468341060106907,11.79139851049759,17.362722111686754,6.0,0.06440001518982656,0.8984269942771999,0.9628270094670264,351.6653440052604,8.938216568228697,-4.49571169831493,10.328576415490105,4.7701329363716696e-05,3.297575617235737e-05,4.7701329363716696e-05,3.220000477824338e-05,2849999.7506985306,0.24930146941915154,0.0,0.24930146941915154,0.0006886780923180982,16.99774344464953,0.0,1.0,0.0,0.0,1.7341381997221297e-10
